municipio.x,codigo_ibge,regiao_administrativa,regiao_de_governo,regiao_metropolitana,aglomeracoes_urbanas,rm_au,municipio,ano,populacao,populacao_masculina,populacao_feminina,razao_de_sexos,populacao_urbana,populacao_rural,grau_urbanizacao_porcentagem
SÃO PEDRO,3550407,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,São Pedro,2017,33486,16255,17231,94.34,28861,4625,86.19
SÃO PEDRO,3550407,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,São Pedro,2018,33725,16366,17359,94.28,29163,4562,86.47
SÃO ROQUE,3550605,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,São Roque,2014,82528,40487,42041,96.3,77565,4963,93.99
SÃO ROQUE,3550605,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,São Roque,2015,83510,40943,42567,96.18,78992,4518,94.59
SÃO ROQUE,3550605,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,São Roque,2016,84281,41299,42982,96.08,80172,4109,95.12
SÃO ROQUE,3550605,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,São Roque,2017,85059,41658,43401,95.98,81313,3746,95.6
SÃO ROQUE,3550605,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,São Roque,2018,85844,42020,43824,95.88,82421,3423,96.01
SÃO SEBASTIÃO,3550704,Região Administrativa de São José dos Campos,Região de Governo de Caraguatatuba,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,São Sebastião,2014,79395,39490,39905,98.96,78501,894,98.87
SÃO SEBASTIÃO,3550704,Região Administrativa de São José dos Campos,Região de Governo de Caraguatatuba,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,São Sebastião,2015,80861,40188,40673,98.81,79950,911,98.87
SÃO SEBASTIÃO,3550704,Região Administrativa de São José dos Campos,Região de Governo de Caraguatatuba,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,São Sebastião,2016,82079,40766,41313,98.68,81154,925,98.87
SÃO SEBASTIÃO,3550704,Região Administrativa de São José dos Campos,Região de Governo de Caraguatatuba,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,São Sebastião,2017,83314,41351,41963,98.54,82375,939,98.87
SÃO SEBASTIÃO,3550704,Região Administrativa de São José dos Campos,Região de Governo de Caraguatatuba,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,São Sebastião,2018,84569,41946,42623,98.41,83616,953,98.87
SÃO VICENTE,3551009,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-,Região Metropolitana da Baixada Santista,São Vicente,2014,342583,164660,177923,92.55,341936,647,99.81
SÃO VICENTE,3551009,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-,Região Metropolitana da Baixada Santista,São Vicente,2015,345231,165962,179269,92.58,344579,652,99.81
SÃO VICENTE,3551009,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-,Região Metropolitana da Baixada Santista,São Vicente,2016,347733,167197,180536,92.61,347076,657,99.81
SÃO VICENTE,3551009,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-,Região Metropolitana da Baixada Santista,São Vicente,2017,350254,168442,181812,92.65,349592,662,99.81
SÃO VICENTE,3551009,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-,Região Metropolitana da Baixada Santista,São Vicente,2018,352794,169697,183097,92.68,352128,666,99.81
SARAPUÍ,3551108,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Sarapuí,2014,9455,4782,4673,102.33,7235,2220,76.52
SARAPUÍ,3551108,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Sarapuí,2015,9569,4832,4737,102.01,7388,2181,77.21
SARAPUÍ,3551108,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Sarapuí,2016,9675,4879,4796,101.73,7535,2140,77.88
SARAPUÍ,3551108,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Sarapuí,2017,9782,4927,4855,101.48,7683,2099,78.54
SARAPUÍ,3551108,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Sarapuí,2018,9890,4975,4915,101.22,7831,2059,79.18
SILVEIRAS,3552007,Região Administrativa de São José dos Campos,Região de Governo de Cruzeiro,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,Silveiras,2014,5955,3006,2949,101.93,3058,2897,51.35
SILVEIRAS,3552007,Região Administrativa de São José dos Campos,Região de Governo de Cruzeiro,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,Silveiras,2015,5998,3024,2974,101.68,3105,2893,51.77
